Firma;Gadeadresse;Postnr;Firmapostnr;Bynavn;Adgangsadresseid;Bemærkninger
Danske Bank A/S ;Girostrøget 1;2630;0800;Høje Taastrup;0a3f507c-f9a0-32b8-e044-0003ba298018;
DR Byen;Emil Holms Kanal 20;2300;0999;København C;0a3f507a-65c0-32b8-e044-0003ba298018;
Danske Bank A/S;Holmens Kanal 2;1060;1092;København K;0a3f507a-8f2e-32b8-e044-0003ba298018;
Danske Bank A/S;Holmens Kanal 10;1060;1092;København K;0a3f507a-8f33-32b8-e044-0003ba298018;
Danske Bank A/S;Holmens Kanal 10B;1060;1092;København K;ee07bd02-c882-4d5c-a1dc-816000e8d3da;
Danske Bank A/S;Holmens Kanal 12;1060;1092;København K;0a3f507a-8f34-32b8-e044-0003ba298018;
Danmarks Nationalbank;Havnegade 5;1058;1093;København K;0a3f507a-8779-32b8-e044-0003ba298018;
Magasin du Nord;Kongens Nytorv 13;1050;1095;København K;0a3f507a-ac29-32b8-e044-0003ba298018;
A.P. Møller;Esplanaden 50;1263;1098;København K;0a3f507a-6a10-32b8-e044-0003ba298018;
Dagbladet Børsen;Møntergade 19;1116;1140;København K;0a3f507a-c71d-32b8-e044-0003ba298018;
Berlingske Media;Pilestræde 34;1112;1147;København K;0a3f507a-da75-32b8-e044-0003ba298018;
Egmont;Vognmagergade 11;1120;1148;København K;0a3f507b-2cfa-32b8-e044-0003ba298018;
Børsen;Slotsholmsgade 1;1216;1217;København K;0a3f507a-f6f7-32b8-e044-0003ba298018;
Folketinget;Christiansborg Slotsplads 1;1218;1240;København K;0a3f507a-582d-32b8-e044-0003ba298018;
Folketinget;Rigsdagsgården 6;1218;1240;København K;0a3f507a-e2c2-32b8-e044-0003ba298018;
Udenrigsministeriet;Asiatisk Plads 2;1402;1448;København K;0a3f507a-3ebb-32b8-e044-0003ba298018;
Post Danmark A/S;Tietgensgade 37;1704;1566;København V;0a3f507b-0f25-32b8-e044-0003ba298018;
Post Danmark A/S;Bernstorffsgade 36;1577;1566;København V;c1c85eff-2834-4002-aa7c-9b79088c4c55;
Københavns Socialdirektorat;Bernstorffsgade 17;1577;1592;København V;0a3f507a-4417-32b8-e044-0003ba298018;P.t undersøgelse vedr. Fortsat brug
Københavns Socialdirektorat;Bernstorffsgade 21;1577;1592;København V;0a3f507a-441a-32b8-e044-0003ba298018;P.t undersøgelse vedr. Fortsat brug
Københavns Rådhus;Rådhuspladsen 1;1550;1599;København V;0a3f507a-ec01-32b8-e044-0003ba298018;
Tivoli A/S;Vesterbrogade 3;1620;1630;København V;0a3f507b-2327-32b8-e044-0003ba298018;
Politiken og Ekstra Bladet;Rådhuspladsen 37;1550;1785;København V;0a3f507a-ec0a-32b8-e044-0003ba298018;
Nordea;Vesterbrogade 8;1620;1786;København V;0a3f507b-2330-32b8-e044-0003ba298018;
Nordea;Torvegade 2;1400;1786;København V;;
Dansk Industri;H.C. Andersens Boulevard 18;1553;1787;København V;0a3f507a-3c26-32b8-e044-0003ba298018;
