stedid;navn;brofast;antal
a1234567-b124-c987-8762-123456789098;Sjælland;t;797279
12337669-e41a-6b98-e053-d480220a5a3f;Fyn;t;218065
12337669-e43e-6b98-e053-d480220a5a3f;Nørrejyske Ø;t;189691
1233766a-0a6c-6b98-e053-d480220a5a3f;Amager;t;41533
12337669-e41c-6b98-e053-d480220a5a3f;Lolland;t;41044
12337669-e41d-6b98-e053-d480220a5a3f;Falster;t;29339
12337669-e41b-6b98-e053-d480220a5a3f;Bornholm;f;29200
12337669-e417-6b98-e053-d480220a5a3f;Als;t;24376
12337669-e7b9-6b98-e053-d480220a5a3f;Mors;t;12935
12337669-e418-6b98-e053-d480220a5a3f;Langeland;t;11856
1233766a-08c1-6b98-e053-d480220a5a3f;Møn;t;8124
12337669-f555-6b98-e053-d480220a5a3f;Ærø;f;5241
12337669-e41e-6b98-e053-d480220a5a3f;Fanø;f;4943
12337669-e42d-6b98-e053-d480220a5a3f;Samsø;f;4543
1233766a-07fa-6b98-e053-d480220a5a3f;Læsø;f;3605
12337669-e42c-6b98-e053-d480220a5a3f;Tåsinge;t;3413
12337669-e45a-6b98-e053-d480220a5a3f;Rømø;t;2903
12337669-f771-6b98-e053-d480220a5a3f;Thurø;t;1877
1233766a-03fb-6b98-e053-d480220a5a3f;Enø;t;1540
12337669-e44a-6b98-e053-d480220a5a3f;Orø;f;1531
1233766a-08ae-6b98-e053-d480220a5a3f;Bogø;t;1268
12337669-e422-6b98-e053-d480220a5a3f;Fur;f;1151
1233766a-078d-6b98-e053-d480220a5a3f;Sejerø;f;810
1233766a-02ee-6b98-e053-d480220a5a3f;Fejø;f;774
1233766a-07d5-6b98-e053-d480220a5a3f;Anholt;f;571
12337669-e8a1-6b98-e053-d480220a5a3f;Jegindø;t;480
1233766a-0420-6b98-e053-d480220a5a3f;Omø;f;355
12337669-faef-6b98-e053-d480220a5a3f;Endelave;f;332
1233766a-02b2-6b98-e053-d480220a5a3f;Femø;f;332
1233766a-02cf-6b98-e053-d480220a5a3f;Askø;f;326
1233766a-04a0-6b98-e053-d480220a5a3f;Agersø;f;307
12337669-fc2c-6b98-e053-d480220a5a3f;Tunø;f;259
12337669-f55c-6b98-e053-d480220a5a3f;Strynø;f;214
12337669-ea33-6b98-e053-d480220a5a3f;Årø;f;213
12337669-e6c8-6b98-e053-d480220a5a3f;Venø;f;193
12337669-f839-6b98-e053-d480220a5a3f;Avernakø;f;154
1233766a-0fa9-6b98-e053-d480220a5a3f;Frederiksholm;t;142
