kode;navn
20551;Herstedvester By, Herstedvester
20552;Risby By, Herstedvester
20553;Vridsløselille By, Herstedvester
20651;Harrestrup By, Herstedøster
20652;Herstedøster By, Herstedøster
80551;Børstingerød By, Lillerød
80552;Lillerød By, Lillerød
80651;Kollerød By, Lynge
80652;Lynge By, Lynge
81251;Bastrup By, Uggeløse
81252;Hestetangs Mølle, Uggeløse
81253;Høveltsvang, Uggeløse
81254;Mørdrup By, Uggeløse
81255;Uggeløse By, Uggeløse
81256;Vassingerød By, Uggeløse
130251;Allerød By, Blovstrød
130252;Blovstrød By, Blovstrød
130255;Høvelte By, Blovstrød
130258;Ravnsholt Skov, Blovstrød
130259;Sandholm, Blovstrød
130261;Sjælsø Ejerlav, Blovstrød
130263;Sønderskov, Blovstrød
130264;Tokkekøb Hegn, Blovstrød
20151;Ballerup By, Ballerup
20152;Pederstrup By, Ballerup
21151;Måløv By, Måløv
21152;Sørup By, Måløv
21751;Skovlunde By, Skovlunde
22151;Ågerup By, Pederstrup
22152;Ballerup By, Pederstrup
22153;Pederstrup By, Pederstrup
1370151;Knudsker
1370251;Nyker
1370351;Arnager Fiskerleje, Nylarsker
1370352;Hovedejerlavet, Nylarsker
1370451;Vestermarie
1380151;Aaker
1380251;Bodilsker
1380351;Pedersker
1380451;Povlsker
1390151;Gudhjem Fiskerleje, Gudhjem
1390251;Hovedejerlavet, Ibsker
1390252;Listed Fiskerleje, Ibsker
1390253;Årsdale Fiskerleje, Ibsker
1390351;Østerlarsker
1390451;Østermarie
1400251;Klemensker
1400351;Hovedejerlavet, Olsker
1400352;Tejn Fiskerleje, Olsker
1400451;Rutsker
1400551;Rø
2002151;Aakirkeby Bygrunde
2002152;Aakirkeby Markjorder
2002251;Allinge Bygrunde
2002252;Sandvig Bygrunde
2002253;Allinge-Sandvig Markjorder
2002254;Hammeren, Allinge-Sandvig Jorder
2002255;Hammersholm, Allinge-Sandvig Jorder
2002256;Slotslyngen, Allinge-Sandvig Jorder
2002351;Hasle Bygrunde
2002352;Hasle Markjorder
2002353;Strandmarken, Hasle Jorder
2002451;Nexø Bygrunde
2002452;Nexø Markjorder
2002551;Rønne Bygrunde
2002552;Rønne Markjorder
2002651;Svaneke Bygrunde
2002652;Svaneke Markjorder
20251;Brøndbyvester By, Brøndbyvester
20351;Brøndbyøster By, Brøndbyøster
22051;Brøndbyvester By, Brøndby Strand
10851;St. Magleby By, St. Magleby
12951;Dragør By, Dragør
21051;Ledøje By, Ledøje
21351;Edelgave Hgd., Smørum
21352;Hove By, Smørum
21353;Nybølle By, Smørum
21354;Smørumnedre By, Smørum
21355;Smørumovre By, Smørum
80451;Hagerup By, Jørlunde
80452;Hagerup Sø, Jørlunde
80453;Jørlunde By, Jørlunde
80455;Skenkelsø By, Jørlunde
80456;Sperrestrup By, Jørlunde
90251;Ganløse By, Ganløse
90252;Knardrup By, Ganløse
90351;Slagslunde By, Slagslunde
90551;Stenlille By, Stenløse
90552;Stenløse By, Stenløse
90553;Søsum By, Stenløse
90651;Veksø By, Veksø
90751;Svestrup By, Ølstykke
90752;Udlejre By, Ølstykke
90753;Ølstykke By, Ølstykke
120151;Asminderød By, Asminderød
120152;Båstrup By, Asminderød
120153;Danstrup By, Asminderød
120154;Danstrup Hegn, Asminderød
120155;Ebbekøb, Asminderød
120156;Endrup By, Asminderød
120157;Fredensborg By, Asminderød
120158;Højsager By, Asminderød
120159;Langerød By, Asminderød
120160;Langstrup By, Asminderød
120161;Roland By, Asminderød
120162;Søholm By, Asminderød
120163;Sørup Hegn, Asminderød
120164;Veksebo By, Asminderød
120165;Esrum Sø, Asminderød
120351;Grønholt By, Grønholt
120352;Grønholt Hegn, Grønholt
120353;Lønholt By, Grønholt
120354;Sørup By, Grønholt
120355;Tulstrup Vang, Grønholt
120356;Esrum Sø, Grønholt
120357;Jesperhus, Grønholt
120751;Dageløkke By, Humlebæk
120752;Krogerup, Humlebæk
120753;Langstrup By, Humlebæk
120754;Nederste Torp By, Humlebæk
120755;Nybo By, Humlebæk
120756;Sletten, Humlebæk
120757;Toelt By, Humlebæk
120758;Øverste Torp By, Humlebæk
130253;Gunderød By, Blovstrød
130451;Avderød By, Karlebo
130452;Brønsholm By, Karlebo
130453;Fredtofte By, Karlebo
130454;Grønholt Hegn, Karlebo
130455;Gunderød By, Karlebo
130456;Hesselrød By, Karlebo
130457;Jellerød, Karlebo
130458;Karlebo By, Karlebo
130459;Karlebo Overdrev, Karlebo
130460;Kirkelte By, Karlebo
130461;Nivågård, Karlebo
130462;Nivå Mølle, Karlebo
130463;Niverød By, Karlebo
130464;Stasevang, Karlebo
130465;Ullerød By, Karlebo
130466;Vejenbrød By, Karlebo
10051;Frederiksberg
70251;Bakkegårde, Dråby
70252;Barakkerne, Dråby
70253;Jægerspris Hgd., Dråby
70254;Kobbelgårde, Dråby
70255;Neder Dråby By, Dråby
70256;Nygårde, Dråby
70257;Nyhuse, Dråby
70258;Over Dråby By, Dråby
70259;Slagelsegårdene, Dråby
70260;Troldegårde, Dråby
70351;Egholm Hgd., Ferslev
70352;Ferslev By, Ferslev
70353;Røgerup By, Ferslev
70354;Svanholm Hgd., Ferslev
70355;Vejleby By, Ferslev
70356;Venslev By, Ferslev
70451;Gerlev By, Gerlev
70452;Landerslev By, Gerlev
70453;Lyngerup By, Gerlev
70454;Tørslev By, Gerlev
70551;Dalby By, Krogstrup
70552;Krogstrup By, Krogstrup
70553;Lyngerup By, Krogstrup
70554;Onsved By, Krogstrup
70555;Orebjerg Hgd., Krogstrup
70556;Pagterold, Krogstrup
70557;Svanholm Hgd., Krogstrup
70651;Kyndby By, Kyndby
70751;Eskilsø, Selsø
70752;Selsø Hgd., Selsø
70753;Sønderby By, Selsø
70754;Østby By, Selsø
70851;Bonderup By, Skibby
70852;Manderup By, Skibby
70853;Røgerup By, Skibby
70854;Skibby By, Skibby
70951;Onsved By, Skuldelev
70952;Pagterold, Skuldelev
70953;Skuldelev By, Skuldelev
70954;Torpegård, Skuldelev
71051;Vellerup By, Vellerup
80251;Græse By, Græse
80454;Påstrup By, Jørlunde
80457;Sundbylille By, Jørlunde
80851;Oppe Sundby By, Oppe Sundby
80951;Sigerslevvester By, Sigerslevvester
81051;Hørup By, Slangerup
81052;Jordhøj By, Slangerup
81053;Manderup By, Slangerup
81054;Kvinderup By, Slangerup
81055;Slangerup By, Slangerup
81351;Lindholm By, Uvelse
90451;Ll. Rørbæk By, Snostrup
90452;Snostrup By, Snostrup
90453;St. Rørbæk By, Snostrup
2000451;Frederikssund Bygrunde
2000452;Frederikssund Markjorder
2000453;Bonderup, Frederikssund Jorder
2000454;Ude Sundby, Frederikssund Jorder
20951;Bringe By, Værløse
20952;Borup Sø, Værløse
20953;Hareskov By, Værløse
20954;Jonstrup Vang, Værløse
20955;Kirke Værløse By, Værløse
20956;Kollekolle By, Værløse
20957;Ll. Værløse By, Værløse
20958;Søndersø, Værløse
20959;Furesø, Værløse
90151;Bregnerød By, Farum
90152;Farum By, Farum
90153;Farumgård, Farum
90154;Ravnsholt Skov, Farum
90155;Stavnsholt By, Farum
90156;Furesø, Farum
10151;Gentofte
10352;Hellerup
11052;Charlottenlund
11053;Kristiansholm
11054;Ordrup
11253;Skovshoved
12251;Bernstorff
12252;Ermelund
12254;Jægersborg
12255;Vangede
10251;Buddinge
10252;Gladsaxe
12751;Bagsværd
13251;Mørkhøj
20451;Ejby By, Glostrup
20452;Glostrup By, Glostrup
20453;Hvessinge By, Glostrup
110151;Annisse By, Annisse
110152;Huseby By, Annisse
110153;Arresø, Annisse
110251;Bakkebjerg By, Blistrup
110252;Blistrup By, Blistrup
110253;Hesselbjerg By, Blistrup
110254;Højelt By, Blistrup
110255;Kolsbæk By, Blistrup
110256;Ludshøj By, Blistrup
110257;Rågeleje, Blistrup
110258;Smidstrup By, Blistrup
110259;Udsholt By, Blistrup
110351;Dronningmølle, Esbønderup
110352;Esrumkloster, Esbønderup
110353;Haregab, Esbønderup
110354;Kirke Esbønderup By, Esbønderup
110355;Ndr. Gribskov, Esbønderup
110356;Saltrup By, Esbønderup
110357;Villingerød By, Esbønderup
110358;Vokstrup, Esbønderup
110359;Øverup, Esbønderup
110360;Esrum Sø, Esbønderup
110451;Blakshejede, Gilleleje
110452;Bonderup, Gilleleje
110453;Fjellenstrup By, Gilleleje
110454;Gilleleje By, Gilleleje
110455;Strand Børstrup By, Gilleleje
110551;Aggebo Skovhuse, Græsted
110552;Alme By, Græsted
110553;Dønnevælde By, Græsted
110554;Græsted By, Græsted
110555;Græsted Overdrev, Græsted
110556;Græsted Skovhuse, Græsted
110557;Hågendrup By, Græsted
110558;Holt By, Græsted
110559;Pårup By, Græsted
110560;Pikkerhuse, Græsted
110561;Stokkerup, Græsted
110562;Strand Esbønderup By, Græsted
110563;Tulstrup By, Græsted
110564;Lopholm, Græsted
110565;Skov Børstrup By, Græsted
110566;Holgerskøb, Græsted
110651;Ammendrup By, Helsinge
110652;Helsinge By, Helsinge
110653;Høbjerg By, Helsinge
110654;Høbjerg Hegn, Helsinge
110655;Kæderup By, Helsinge
110656;Laugø By, Helsinge
110657;Nejlinge By, Helsinge
110658;Ornedhus, Helsinge
110659;Pibemølle, Helsinge
110751;Ejlstrup By, Mårum
110752;Harager Hegn, Mårum
110753;Kagerup By, Mårum
110754;Tibberup, Mårum
110755;Mårum By, Mårum
110756;Mårum Tinghuse, Mårum
110757;Nellerød By, Mårum
110951;Ågerup By, Ramløse
110952;Ramløse By, Ramløse
110953;Skærød By, Ramløse
110954;Tågerup By, Ramløse
110955;Arresø, Ramløse
111051;Bregnerød By, Søborg
111052;Dragstrup By, Søborg
111053;Ferle By, Søborg
111054;Firhøj By, Søborg
111055;Gilleleje By, Søborg
111056;Hesbjerg Gde., Søborg
111057;Munkerup Gde., Søborg
111058;Nakkehoved By, Søborg
111059;Passebæk Gde., Søborg
111060;Rødkilde Gde., Søborg
111061;Søborg By, Søborg
111062;Søborg Sø, Søborg
111151;Tibirke By, Tibirke
111152;Tibirke Flyvesand, Tibirke
111153;Tisvilde By, Tibirke
111154;Tisvildeleje, Tibirke
111155;Arresø, Tibirke
111251;Aggebo, Valby
111252;Bannebjerg By, Valby
111253;Hemmingstrup By, Valby
111254;Mønge By, Valby
111255;Sletelte By, Valby
111256;Valby By, Valby
111257;Valby Hegn, Valby
111351;Holløse By, Vejby
111352;Mønge By, Vejby
111353;Rågeleje, Vejby
111354;Unnerup By, Vejby
111355;Vejby By, Vejby
111356;Ørby By, Vejby
100251;Arresødal Hgd., Kregme
100252;Auderød By, Kregme
100253;Brederød By, Kregme
100254;Kregme By, Kregme
100255;Sonnerup By, Kregme
100256;Arresø, Kregme
100451;Evetofte By, Melby
100452;Hågendrup By, Melby
100453;Melby By, Melby
100454;Tollerup By, Melby
100751;Hundested By, Torup
100752;Ellinge By, Torup
100753;Grønnessegård Hgd., Torup
100754;Hald By, Torup
100755;Hesselø, Torup
100756;Kikhavn By, Torup
100757;Ll. Karlsminde, Torup
100758;Lynæs By, Torup
100759;St. Karlsminde By, Torup
100760;Sverkilstrup By, Torup
100761;Torup By, Torup
100762;Torplille By, Torup
100763;Torpmagle By, Torup
100764;Tømmerup Bys Overdrev, Torup
100765;Tømmerup Bys Vangjorder, Torup
100766;Ullerup By, Torup
100951;Arresødal Hgd., Vinderød
100952;Karsemose By, Vinderød
100953;Vinderød By, Vinderød
100954;Arresø, Vinderød
101051;Grimstrup Gde., Ølsted
101052;Ll. Havelse By, Ølsted
101053;St. Havelse By, Ølsted
101054;Ubberup By, Ølsted
101055;Ølsted By, Ølsted
101056;Arresø, Ølsted
2000551;Frederiksværk Bygrunde
2000552;Frederiksværk Markjorder
120251;Dalsborg, Egebæksvang
120252;Egebæksvang Skov, Egebæksvang
120253;Espergærde By, Egebæksvang
120254;Mørdrup By, Egebæksvang
