Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse
1084,Hovedstaden,165,Albertslund Kommune,20551,"Herstedvester By, Herstedvester"
1084,Hovedstaden,165,Albertslund Kommune,20552,"Risby By, Herstedvester"
1084,Hovedstaden,165,Albertslund Kommune,20553,"Vridsløselille By, Herstedvester"
1084,Hovedstaden,165,Albertslund Kommune,20651,"Harrestrup By, Herstedøster"
1084,Hovedstaden,165,Albertslund Kommune,20652,"Herstedøster By, Herstedøster"
1084,Hovedstaden,201,Allerød Kommune,80551,"Børstingerød By, Lillerød"
1084,Hovedstaden,201,Allerød Kommune,80552,"Lillerød By, Lillerød"
1084,Hovedstaden,201,Allerød Kommune,80651,"Kollerød By, Lynge"
1084,Hovedstaden,201,Allerød Kommune,80652,"Lynge By, Lynge"
1084,Hovedstaden,201,Allerød Kommune,81251,"Bastrup By, Uggeløse"
1084,Hovedstaden,201,Allerød Kommune,81252,"Hestetangs Mølle, Uggeløse"
1084,Hovedstaden,201,Allerød Kommune,81253,"Høveltsvang, Uggeløse"
1084,Hovedstaden,201,Allerød Kommune,81254,"Mørdrup By, Uggeløse"
1084,Hovedstaden,201,Allerød Kommune,81255,"Uggeløse By, Uggeløse"
1084,Hovedstaden,201,Allerød Kommune,81256,"Vassingerød By, Uggeløse"
1084,Hovedstaden,201,Allerød Kommune,130251,"Allerød By, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130252,"Blovstrød By, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130255,"Høvelte By, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130258,"Ravnsholt Skov, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130259,"Sandholm, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130261,"Sjælsø Ejerlav, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130263,"Sønderskov, Blovstrød"
1084,Hovedstaden,201,Allerød Kommune,130264,"Tokkekøb Hegn, Blovstrød"
1084,Hovedstaden,151,Ballerup Kommune,20151,"Ballerup By, Ballerup"
1084,Hovedstaden,151,Ballerup Kommune,20152,"Pederstrup By, Ballerup"
1084,Hovedstaden,151,Ballerup Kommune,20651,"Harrestrup By, Herstedøster"
1084,Hovedstaden,151,Ballerup Kommune,21151,"Måløv By, Måløv"
1084,Hovedstaden,151,Ballerup Kommune,21152,"Sørup By, Måløv"
1084,Hovedstaden,151,Ballerup Kommune,21751,"Skovlunde By, Skovlunde"
1084,Hovedstaden,151,Ballerup Kommune,22151,"Ågerup By, Pederstrup"
1084,Hovedstaden,151,Ballerup Kommune,22152,"Ballerup By, Pederstrup"
1084,Hovedstaden,151,Ballerup Kommune,22153,"Pederstrup By, Pederstrup"
1084,Hovedstaden,400,Bornholms Kommune,1370151,Knudsker
1084,Hovedstaden,400,Bornholms Kommune,1370251,Nyker
1084,Hovedstaden,400,Bornholms Kommune,1370351,"Arnager Fiskerleje, Nylarsker"
1084,Hovedstaden,400,Bornholms Kommune,1370352,"Hovedejerlavet, Nylarsker"
1084,Hovedstaden,400,Bornholms Kommune,1370451,Vestermarie
1084,Hovedstaden,400,Bornholms Kommune,1380151,Aaker
1084,Hovedstaden,400,Bornholms Kommune,1380251,Bodilsker
1084,Hovedstaden,400,Bornholms Kommune,1380351,Pedersker
1084,Hovedstaden,400,Bornholms Kommune,1380451,Povlsker
1084,Hovedstaden,400,Bornholms Kommune,1390151,"Gudhjem Fiskerleje, Gudhjem"
