postnr;navn;stormodtager
800;Høje Taastrup;true
999;København C; true
1050;København K;false
1051;København K;false
1052;København K;false
1053;København K;false
1054;København K;false
1055;København K;false
1056;København K;false
1057;København K;false
1058;København K;false
1059;København K;false
1060;København K;false
1061;København K;false
1062;København K;false
1063;København K;false
1064;København K;false
1065;København K;false
1066;København K;false
1067;København K;false
1068;København K;false
1069;København K;false
1070;København K;false
1071;København K;false
1072;København K;false
1073;København K;false
1074;København K;false
1092;København K;true
1093;København K;true
1095;København K;true
1098;København K;true
1100;København K;false
1101;København K;false
1102;København K;false
1103;København K;false
1104;København K;false
1105;København K;false
1106;København K;false
1107;København K;false
1110;København K;false
1111;København K;false
1112;København K;false
1113;København K;false
1114;København K;false
1115;København K;false
1116;København K;false
1117;København K;false
1118;København K;false
1119;København K;false
1120;København K;false
1121;København K;false
1122;København K;false
1123;København K;false
1124;København K;false
1125;København K;false
1126;København K;false
1127;København K;false
1128;København K;false
1129;København K;false
1130;København K;false
1131;København K;false
1140;København K;true
1147;København K;true
1148;København K;true
1150;København K;false
1151;København K;false
1152;København K;false
1153;København K;false
1154;København K;false
1155;København K;false
1156;København K;false
1157;København K;false
1158;København K;false
1159;København K;false
1160;København K;false
1161;København K;false
1162;København K;false
1164;København K;false
1165;København K;false
1166;København K;false
1167;København K;false
1168;København K;false
1169;København K;false
1170;København K;false
1171;København K;false
1172;København K;false
1173;København K;false
1174;København K;false
1175;København K;false
1200;København K;false
1201;København K;false
1202;København K;false
1203;København K;false
1204;København K;false
1205;København K;false
1206;København K;false
1207;København K;false
1208;København K;false
1209;København K;false
1210;København K;false
1211;København K;false
1212;København K;false
1213;København K;false
1214;København K;false
1215;København K;false
1216;København K;false
1217;København K;true
1218;København K;false
1219;København K;false
1220;København K;false
1221;København K;false
1240;København K;true
1250;København K;false
1251;København K;false
1252;København K;false
1253;København K;false
1254;København K;false
1255;København K;false
1256;København K;false
1257;København K;false
1259;København K;false
1260;København K;false
1261;København K;false
1263;København K;false
1264;København K;false
1265;København K;false
1266;København K;false
1267;København K;false
1268;København K;false
1270;København K;false
1271;København K;false
1300;København K;false
1301;København K;false
1302;København K;false
1303;København K;false
1304;København K;false
1306;København K;false
1307;København K;false
1308;København K;false
1309;København K;false
1310;København K;false
1311;København K;false
1312;København K;false
1313;København K;false
1314;København K;false
1315;København K;false
1316;København K;false
1317;København K;false
1318;København K;false
1319;København K;false
1320;København K;false
1321;København K;false
1322;København K;false
1323;København K;false
1324;København K;false
1325;København K;false
1326;København K;false
1327;København K;false
1328;København K;false
1329;København K;false
1350;København K;false
1352;København K;false
1353;København K;false
1354;København K;false
1355;København K;false
1356;København K;false
1357;København K;false
1358;København K;false
1359;København K;false
1360;København K;false
1361;København K;false
1362;København K;false
1363;København K;false
1364;København K;false
1365;København K;false
1366;København K;false
1367;København K;false
1368;København K;false
1369;København K;false
1370;København K;false
1371;København K;false
1400;København K;false
1401;København K;false
1402;København K;false
1403;København K;false
1406;København K;false
1407;København K;false
1408;København K;false
1409;København K;false
1410;København K;false
1411;København K;false
1412;København K;false
1413;København K;false
1414;København K;false
1415;København K;false
1416;København K;false
1417;København K;false
1418;København K;false
1419;København K;false
1420;København K;false
1421;København K;false
1422;København K;false
1423;København K;false
1424;København K;false
1425;København K;false
1426;København K;false
1427;København K;false
1428;København K;false
1429;København K;false
1430;København K;false
1431;København K;false
1432;København K;false
1433;København K;false
1434;København K;false
1435;København K;false
1436;København K;false
1437;København K;false
1438;København K;false
1439;København K;false
1440;København K;false
1441;København K;false
1448;København K;true
1450;København K;false
1451;København K;false
1452;København K;false
1453;København K;false
1454;København K;false
1455;København K;false
1456;København K;false
1457;København K;false
1458;København K;false
1459;København K;false
1460;København K;false
1461;København K;false
1462;København K;false
1463;København K;false
1464;København K;false
1465;København K;false
1466;København K;false
1467;København K;false
1468;København K;false
1470;København K;false
1471;København K;false
1472;København K;false
1473;København K;false
