Firma;Gadeadresse;Postnr;Firmapostnr;Bynavn;Adgangsadresseid;Bemærkninger
Danske Bank A/S;Girostrøget 1;2630;0800;Høje Taastrup;0a3f507c-f9a0-32b8-e044-0003ba298018;
DR Byen;Emil Holms Kanal 20;2300;0999;København C;0a3f507a-65c0-32b8-e044-0003ba298018;
Danske Bank A/S;Holmens Kanal 2;1060;1092;København K;0a3f507a-8f2e-32b8-e044-0003ba298018;
Danske Bank A/S;Holmens Kanal 12;1060;1092;København K;0a3f507a-8f34-32b8-e044-0003ba298018;
Danmarks Nationalbank;Havnegade 5;1058;1093;København K;0a3f507a-8779-32b8-e044-0003ba298018;
Magasin du Nord;Kongens Nytorv 13;1050;1095;København K;0a3f507a-ac29-32b8-e044-0003ba298018;
A.P. Møller;Esplanaden 50;1263;1098;København K;0a3f507a-6a10-32b8-e044-0003ba298018;
Dagbladet Børsen;Møntergade 19;1116;1140;København K;0a3f507a-c71d-32b8-e044-0003ba298018;
Berlingske Media;Pilestræde 34;1112;1147;København K;0a3f507a-da75-32b8-e044-0003ba298018;
Egmont;Vognmagergade 11;1120;1148;København K;0a3f507b-2cfa-32b8-e044-0003ba298018;
Børsen;Slotsholmsgade 1;1216;1217;København K;0a3f507a-f6f7-32b8-e044-0003ba298018;
Udenrigsministeriet;Asiatisk Plads 2;1402;1448;København K;0a3f507a-3ebb-32b8-e044-0003ba298018;
Post Danmark A/S;Bernstorffsgade 36;1577;1566;København V;c1c85eff-2834-4002-aa7c-9b79088c4c55;
Post Danmark A/S;Tietgensgade 37;1704;1566;København V;0a3f507b-0f25-32b8-e044-0003ba298018;
Københavns Socialdirekt..;Bernstorffsgade 17;1577;1592;København V;0a3f507a-4417-32b8-e044-0003ba298018;
Københavns Rådhus;Rådhuspladsen 1;1550;1599;København V;0a3f507a-ec01-32b8-e044-0003ba298018;
Tivoli A/S;Vesterbrogade 3;1620;1630;København V;0a3f507b-2327-32b8-e044-0003ba298018;
Erhvervskunder;Anker Heegaards Gade 4;1572;1780;København V;0a3f507a-3c78-32b8-e044-0003ba298018;
Erhvervskunder;Anker Heegaards Gade 8;1572;1780;København V;0a3f507a-3c7c-32b8-e044-0003ba298018;
Erhvervskunder;Bernstorffsgade 27;1577;1780;København V;0a3f507a-4421-32b8-e044-0003ba298018;
Erhvervskunder;Frederikskaj 4;2450;1780;København V;0a3f507a-7103-32b8-e044-0003ba298018;
Erhvervskunder;Frederikskaj 8;2450;1780;København V;0a3f507a-7105-32b8-e044-0003ba298018;
Erhvervskunder;Kalvebod Brygge 1;1560;1780;København V;0a3f507a-a211-32b8-e044-0003ba298018;
Erhvervskunder;Kalvebod Brygge 31;1560;1780;København V;0a3f507a-a21b-32b8-e044-0003ba298018;
Erhvervskunder;Kalvebod Brygge 47;1560;1780;København V;0a3f507a-a228-32b8-e044-0003ba298018;
Erhvervskunder;Kampmannsgade 4;1604;1780;København V;0a3f507a-a26a-32b8-e044-0003ba298018;
Erhvervskunder;Nyropsgade 21;1602;1780;København V;0a3f507a-ce67-32b8-e044-0003ba298018;
Erhvervskunder;Nyropsgade 25;1602;1780;København V;0a3f507a-ce6b-32b8-e044-0003ba298018;
Erhvervskunder;Nyropsgade 30;1602;1780;København V;0a3f507a-ce6f-32b8-e044-0003ba298018;
Erhvervskunder;Otto Mønsteds Plads 9;1563;1780;København V;0a3f507a-d547-32b8-e044-0003ba298018;
Erhvervskunder;Polititorvet 1;1567;1780;København V;08d5ee28-4e56-45f0-bc72-d6e33e36d81d;
Erhvervskunder;Polititorvet 14;1567;1780;København V;0a3f507a-db4d-32b8-e044-0003ba298018;
Erhvervskunder;Vester Voldgade 123;1552;1780;København V;0a3f507b-261d-32b8-e044-0003ba298018;
Erhvervskunder;Vesterbrogade 6D;1620;1780;København V;0a3f507b-232d-32b8-e044-0003ba298018;
Erhvervskunder;Vesterbrogade 9;1620;1780;København V;5a27bd56-cd59-4935-9719-2548793b38b5;
Politiken og Ekstra Bla..;Rådhuspladsen 37;1550;1785;København V;0a3f507a-ec0a-32b8-e044-0003ba298018;
Nordea;Vesterbrogade 8;1620;1786;København V;0a3f507b-2330-32b8-e044-0003ba298018;
